reviewid,customerid,productid,reviewdate,year_month,rating,reviewtext,vader_score,sentiment_category,productname,brand,category,price
26,256,27,2023-09-12,2023-09,5,Fast delivery and great packaging.,0.6249,Positive,Men Slim Fit Jeans,French Connection,Slim Fit Jeans,1294.0
27,399,1,2024-06-01,2024-06,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Loose Fit Cotton Jeans,WROGN,Relaxed Fit Jeans,1374.0
28,433,42,2024-02-19,2024-02,4,Fast delivery and great packaging.,0.6249,Positive,Men Slim Fit Jeans,Nautica,Slim Fit Jeans,1088.0
29,19,30,2024-05-22,2024-05,4,Amazing quality! Totally worth the price.,0.7419,Positive,Men Slim Tapered Fit Jeans,Mast & Harbour,Slim Fit Jeans,701.0
30,375,18,2024-06-27,2024-06,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Wide Leg Jeans,Roadster,Wide Leg & Bootcut,999.0
31,431,50,2024-06-13,2024-06,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,30 Days No Wash Jeans,TURMS,Denim & Jeans,3499.0
32,146,45,2024-11-06,2024-11,4,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Wide Leg Cotton Jeans,HIGHLANDER,Wide Leg & Bootcut,1099.0
33,95,33,2024-05-05,2024-05,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Straight Fit Jeans,glitchez,Regular Fit Jeans,797.0
34,445,33,2024-07-21,2024-07,1,Quality is below average. Not what I expected.,0.0,Mixed Negative,Men Straight Fit Jeans,glitchez,Regular Fit Jeans,797.0
35,220,32,2023-03-26,2023-03,3,Not bad but not great either. Fits okay.,-0.2883,Neutral,Men Relaxed Fit Jeans,The Indian Garage Co,Relaxed Fit Jeans,808.0
36,486,17,2023-10-01,2023-10,5,Great value for money. Highly recommend.,0.8516,Positive,Men Low-Rise Jeans,Kotty,Denim & Jeans,519.0
37,381,38,2023-11-20,2023-11,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Bootcut Jeans,Urbano Fashion,Wide Leg & Bootcut,944.0
38,237,41,2023-02-04,2023-02,3,Average quality. Nothing special about it.,-0.3089,Neutral,Men Tapered Fit Jeans,Flying Machine,Denim & Jeans,1829.0
39,80,28,2023-12-17,2023-12,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Straight Fit Jeans,Mast & Harbour,Regular Fit Jeans,764.0
40,427,42,2023-07-31,2023-07,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Slim Fit Jeans,Nautica,Slim Fit Jeans,1088.0
41,206,25,2024-09-29,2024-09,1,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Relaxed Fit Jeans,FUGAZEE,Relaxed Fit Jeans,2099.0
42,467,16,2023-06-19,2023-06,3,Decent product but could be better for the price.,0.5927,Neutral,Men Relaxed Fit Jeans,Flying Machine,Relaxed Fit Jeans,2309.0
43,16,29,2023-09-08,2023-09,4,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Slim Fit Jeans,Roadster,Slim Fit Jeans,681.0
44,412,12,2023-03-03,2023-03,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Relaxed Fit Jeans,styzon,Relaxed Fit Jeans,989.0
45,444,41,2023-05-30,2023-05,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Tapered Fit Jeans,Flying Machine,Denim & Jeans,1829.0
46,3,2,2023-12-01,2023-12,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Slim Fit Jeans,Flying Machine,Slim Fit Jeans,1829.0
47,359,3,2023-05-24,2023-05,4,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Pure Cotton Jeans,Roadster,Denim & Jeans,974.0
48,155,34,2023-02-26,2023-02,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Bootcut Stretchable Jeans,Thomas Scott,Wide Leg & Bootcut,874.0
49,466,23,2023-02-27,2023-02,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Stretchable Jeans,Mast & Harbour,Stretchable Jeans,758.0
50,184,29,2024-06-12,2024-06,4,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Slim Fit Jeans,Roadster,Slim Fit Jeans,681.0
51,416,34,2024-08-23,2024-08,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Bootcut Stretchable Jeans,Thomas Scott,Wide Leg & Bootcut,874.0
52,349,21,2024-10-15,2024-10,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Low-Rise Cargo  Jeans,Kotty,Joggers & Cargo,639.0
53,249,10,2023-06-10,2023-06,3,Decent product but could be better for the price.,0.5927,Neutral,Men Jogger Mid-Rise Jeans,styzon,Joggers & Cargo,899.0
54,478,18,2024-03-23,2024-03,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Wide Leg Jeans,Roadster,Wide Leg & Bootcut,999.0
55,176,12,2024-05-31,2024-05,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Relaxed Fit Jeans,styzon,Relaxed Fit Jeans,989.0
56,402,34,2024-06-24,2024-06,5,Great value for money. Highly recommend.,0.8516,Positive,Men Bootcut Stretchable Jeans,Thomas Scott,Wide Leg & Bootcut,874.0
57,125,4,2023-02-12,2023-02,5,Fast delivery and great packaging.,0.6249,Positive,Relaxed Fit Denim Jeans,Bene Kleed,Relaxed Fit Jeans,873.0
58,169,20,2024-09-27,2024-09,5,Fast delivery and great packaging.,0.6249,Positive,Men Bootcut Jeans,Mast & Harbour,Wide Leg & Bootcut,869.0
59,8,46,2023-12-13,2023-12,4,Perfect fit. The material feels premium.,0.7351,Positive,Men Slim Fit Jeans,HIGHLANDER,Slim Fit Jeans,675.0
60,454,46,2023-04-28,2023-04,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Slim Fit Jeans,HIGHLANDER,Slim Fit Jeans,675.0
61,148,27,2023-09-19,2023-09,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Slim Fit Jeans,French Connection,Slim Fit Jeans,1294.0
62,478,27,2024-03-30,2024-03,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Slim Fit Jeans,French Connection,Slim Fit Jeans,1294.0
63,410,50,2024-12-15,2024-12,5,Great value for money. Highly recommend.,0.8516,Positive,30 Days No Wash Jeans,TURMS,Denim & Jeans,3499.0
64,440,4,2023-03-21,2023-03,5,Great value for money. Highly recommend.,0.8516,Positive,Relaxed Fit Denim Jeans,Bene Kleed,Relaxed Fit Jeans,873.0
65,154,29,2023-12-04,2023-12,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Slim Fit Jeans,Roadster,Slim Fit Jeans,681.0
66,191,37,2023-10-06,2023-10,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Straight Fit Jeans,V-Mart,Regular Fit Jeans,809.0
67,112,33,2023-05-10,2023-05,5,Great value for money. Highly recommend.,0.8516,Positive,Men Straight Fit Jeans,glitchez,Regular Fit Jeans,797.0
68,248,39,2023-09-12,2023-09,4,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Regular Fit Jeans,Levis,Regular Fit Jeans,944.0
69,448,22,2023-10-19,2023-10,4,Amazing quality! Totally worth the price.,0.7419,Positive,Men Mid-Rise Skinny Fit Jeans,Mufti,Slim Fit Jeans,1393.0
70,292,45,2023-11-14,2023-11,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Wide Leg Cotton Jeans,HIGHLANDER,Wide Leg & Bootcut,1099.0
71,224,28,2023-04-19,2023-04,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Straight Fit Jeans,Mast & Harbour,Regular Fit Jeans,764.0
72,61,10,2024-05-15,2024-05,2,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Jogger Mid-Rise Jeans,styzon,Joggers & Cargo,899.0
73,398,29,2023-06-22,2023-06,4,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Slim Fit Jeans,Roadster,Slim Fit Jeans,681.0
74,155,8,2024-01-20,2024-01,4,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Wide Leg Heavy Fade Jeans,Bene Kleed,Wide Leg & Bootcut,839.0
75,185,13,2024-02-11,2024-02,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Slim Fit Stretchable Jeans,WROGN,Slim Fit Jeans,1275.0
76,322,13,2024-12-11,2024-12,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Slim Fit Stretchable Jeans,WROGN,Slim Fit Jeans,1275.0
77,29,22,2023-02-20,2023-02,4,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Mid-Rise Skinny Fit Jeans,Mufti,Slim Fit Jeans,1393.0
78,181,23,2023-10-24,2023-10,4,Great value for money. Highly recommend.,0.8516,Positive,Men Stretchable Jeans,Mast & Harbour,Stretchable Jeans,758.0
79,411,12,2024-03-21,2024-03,5,Great value for money. Highly recommend.,0.8516,Positive,Men Relaxed Fit Jeans,styzon,Relaxed Fit Jeans,989.0
80,110,14,2024-11-10,2024-11,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Relaxed Fit Mid-Rise Jeans,HIGHLANDER,Relaxed Fit Jeans,769.0
81,213,33,2024-02-29,2024-02,4,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Straight Fit Jeans,glitchez,Regular Fit Jeans,797.0
82,47,2,2024-08-17,2024-08,1,Received a damaged product. Very unhappy.,-0.7178,Negative,Men Slim Fit Jeans,Flying Machine,Slim Fit Jeans,1829.0
83,190,22,2023-04-01,2023-04,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Mid-Rise Skinny Fit Jeans,Mufti,Slim Fit Jeans,1393.0
84,368,38,2024-10-02,2024-10,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Bootcut Jeans,Urbano Fashion,Wide Leg & Bootcut,944.0
85,399,40,2023-02-17,2023-02,4,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Relaxed Fit Jeans,Roadster,Relaxed Fit Jeans,645.0
86,19,34,2024-03-06,2024-03,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Bootcut Stretchable Jeans,Thomas Scott,Wide Leg & Bootcut,874.0
87,348,2,2024-10-23,2024-10,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Slim Fit Jeans,Flying Machine,Slim Fit Jeans,1829.0
88,101,39,2024-07-19,2024-07,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Regular Fit Jeans,Levis,Regular Fit Jeans,944.0
89,83,26,2023-02-14,2023-02,1,Delivery was very late. Poor experience.,-0.5233,Negative,Men Slim Fit Mid-Rise Jeans,The Indian Garage Co,Slim Fit Jeans,659.0
90,376,16,2024-11-25,2024-11,4,Amazing quality! Totally worth the price.,0.7419,Positive,Men Relaxed Fit Jeans,Flying Machine,Relaxed Fit Jeans,2309.0
91,95,1,2023-02-13,2023-02,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Loose Fit Cotton Jeans,WROGN,Relaxed Fit Jeans,1374.0
92,87,42,2024-06-15,2024-06,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Slim Fit Jeans,Nautica,Slim Fit Jeans,1088.0
93,153,19,2024-06-24,2024-06,5,Fast delivery and great packaging.,0.6249,Positive,Men Straight Fit Jeans,Kotty,Regular Fit Jeans,719.0
94,396,29,2024-02-27,2024-02,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Slim Fit Jeans,Roadster,Slim Fit Jeans,681.0
95,379,1,2023-05-19,2023-05,4,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Loose Fit Cotton Jeans,WROGN,Relaxed Fit Jeans,1374.0
96,96,48,2023-10-29,2023-10,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Bootcut Jeans,HERE&NOW,Wide Leg & Bootcut,869.0
97,158,18,2024-02-27,2024-02,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Wide Leg Jeans,Roadster,Wide Leg & Bootcut,999.0
98,392,11,2024-12-01,2024-12,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Slim Fit Jeans,Calvin Klein Jeans,Slim Fit Jeans,949.0
99,305,42,2024-03-28,2024-03,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Slim Fit Jeans,Nautica,Slim Fit Jeans,1088.0
100,423,20,2024-03-30,2024-03,4,Fast delivery and great packaging.,0.6249,Positive,Men Bootcut Jeans,Mast & Harbour,Wide Leg & Bootcut,869.0
101,340,6,2024-04-01,2024-04,4,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Stretchable Jeans,HERE&NOW,Stretchable Jeans,798.0
102,316,46,2024-08-05,2024-08,4,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Slim Fit Jeans,HIGHLANDER,Slim Fit Jeans,675.0
103,207,20,2024-03-23,2024-03,4,Fast delivery and great packaging.,0.6249,Positive,Men Bootcut Jeans,Mast & Harbour,Wide Leg & Bootcut,869.0
104,321,25,2023-06-06,2023-06,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Relaxed Fit Jeans,FUGAZEE,Relaxed Fit Jeans,2099.0
105,413,25,2024-08-01,2024-08,5,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Relaxed Fit Jeans,FUGAZEE,Relaxed Fit Jeans,2099.0
106,33,8,2024-06-15,2024-06,4,Delivery was quick and product is exactly as described.,0.0,Mixed Positive,Men Wide Leg Heavy Fade Jeans,Bene Kleed,Wide Leg & Bootcut,839.0
107,125,43,2023-05-30,2023-05,5,Perfect fit. The material feels premium.,0.7351,Positive,Men Mid-Rise Stretchable Jeans,MASTERLY WEFT,Stretchable Jeans,959.0
108,96,4,2023-05-21,2023-05,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Relaxed Fit Denim Jeans,Bene Kleed,Relaxed Fit Jeans,873.0
109,28,25,2023-10-04,2023-10,3,Average quality. Nothing special about it.,-0.3089,Neutral,Men Relaxed Fit Jeans,FUGAZEE,Relaxed Fit Jeans,2099.0
110,362,34,2023-11-05,2023-11,5,Fast delivery and great packaging.,0.6249,Positive,Men Bootcut Stretchable Jeans,Thomas Scott,Wide Leg & Bootcut,874.0
111,404,22,2023-09-29,2023-09,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Mid-Rise Skinny Fit Jeans,Mufti,Slim Fit Jeans,1393.0
112,346,50,2023-11-30,2023-11,4,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,30 Days No Wash Jeans,TURMS,Denim & Jeans,3499.0
113,423,30,2024-01-16,2024-01,4,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Slim Tapered Fit Jeans,Mast & Harbour,Slim Fit Jeans,701.0
114,173,5,2023-12-28,2023-12,5,Perfect fit. The material feels premium.,0.7351,Positive,Men 511 Slim Fit Jeans,Levis,Slim Fit Jeans,1478.0
115,334,28,2024-05-05,2024-05,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Straight Fit Jeans,Mast & Harbour,Regular Fit Jeans,764.0
116,469,15,2024-02-29,2024-02,4,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Mid-Rise Boot Cut Jeans,Bene Kleed,Denim & Jeans,873.0
117,182,13,2024-03-20,2024-03,3,Decent product but could be better for the price.,0.5927,Neutral,Men Slim Fit Stretchable Jeans,WROGN,Slim Fit Jeans,1275.0
118,45,44,2023-06-04,2023-06,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Baggy Loose Jeans,glitchez,Relaxed Fit Jeans,747.0
119,71,4,2024-01-13,2024-01,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Relaxed Fit Denim Jeans,Bene Kleed,Relaxed Fit Jeans,873.0
120,178,43,2024-06-24,2024-06,3,Decent product but could be better for the price.,0.5927,Neutral,Men Mid-Rise Stretchable Jeans,MASTERLY WEFT,Stretchable Jeans,959.0
121,52,16,2024-10-04,2024-10,5,Amazing quality! Totally worth the price.,0.7419,Positive,Men Relaxed Fit Jeans,Flying Machine,Relaxed Fit Jeans,2309.0
122,135,13,2024-10-02,2024-10,3,Material is fine but the colour is slightly different.,0.1027,Neutral,Men Slim Fit Stretchable Jeans,WROGN,Slim Fit Jeans,1275.0
123,461,28,2024-05-02,2024-05,5,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Straight Fit Jeans,Mast & Harbour,Regular Fit Jeans,764.0
124,355,46,2024-08-28,2024-08,4,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Slim Fit Jeans,HIGHLANDER,Slim Fit Jeans,675.0
125,1,26,2023-04-09,2023-04,1,Product looks different from the photo online.,0.0,Mixed Negative,Men Slim Fit Mid-Rise Jeans,The Indian Garage Co,Slim Fit Jeans,659.0
126,23,3,2024-05-17,2024-05,1,Material feels cheap. Not worth the price at all.,-0.1695,Negative,Men Pure Cotton Jeans,Roadster,Denim & Jeans,974.0
127,236,42,2023-12-24,2023-12,4,Loved the fabric and the fit. Will buy again.,0.7506,Positive,Men Slim Fit Jeans,Nautica,Slim Fit Jeans,1088.0
128,317,39,2024-01-06,2024-01,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Regular Fit Jeans,Levis,Regular Fit Jeans,944.0
129,316,40,2023-12-26,2023-12,1,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Relaxed Fit Jeans,Roadster,Relaxed Fit Jeans,645.0
130,421,13,2024-05-30,2024-05,4,Fast delivery and great packaging.,0.6249,Positive,Men Slim Fit Stretchable Jeans,WROGN,Slim Fit Jeans,1275.0
131,64,15,2024-01-11,2024-01,1,Quality is below average. Not what I expected.,0.0,Mixed Negative,Men Mid-Rise Boot Cut Jeans,Bene Kleed,Denim & Jeans,873.0
132,56,26,2023-05-24,2023-05,1,Delivery was very late. Poor experience.,-0.5233,Negative,Men Slim Fit Mid-Rise Jeans,The Indian Garage Co,Slim Fit Jeans,659.0
133,422,30,2023-07-25,2023-07,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Slim Tapered Fit Jeans,Mast & Harbour,Slim Fit Jeans,701.0
134,146,16,2023-02-14,2023-02,2,The jeans are too tight at the waist. Sizing is off.,0.0,Mixed Negative,Men Relaxed Fit Jeans,Flying Machine,Relaxed Fit Jeans,2309.0
135,92,27,2023-03-31,2023-03,2,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Slim Fit Jeans,French Connection,Slim Fit Jeans,1294.0
136,104,26,2023-08-15,2023-08,4,Great value for money. Highly recommend.,0.8516,Positive,Men Slim Fit Mid-Rise Jeans,The Indian Garage Co,Slim Fit Jeans,659.0
137,215,49,2023-01-23,2023-01,2,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Non Stretchable Cotton Jeans,Flying Machine,Stretchable Jeans,1829.0
138,234,9,2024-03-07,2024-03,2,The jeans are too tight at the waist. Sizing is off.,0.0,Mixed Negative,Men Regular Fit Mid-Rise Jeans,Roadster,Regular Fit Jeans,759.0
139,74,30,2023-02-28,2023-02,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Slim Tapered Fit Jeans,Mast & Harbour,Slim Fit Jeans,701.0
140,463,48,2023-12-31,2023-12,5,Fast delivery and great packaging.,0.6249,Positive,Men Bootcut Jeans,HERE&NOW,Wide Leg & Bootcut,869.0
141,2,21,2024-08-15,2024-08,5,Beautiful design. Exactly as shown in the photo.,0.5994,Positive,Men Low-Rise Cargo  Jeans,Kotty,Joggers & Cargo,639.0
142,358,34,2023-03-27,2023-03,4,Fast delivery and great packaging.,0.6249,Positive,Men Bootcut Stretchable Jeans,Thomas Scott,Wide Leg & Bootcut,874.0
143,415,12,2023-07-27,2023-07,2,Stitching came off within a week. Terrible quality.,-0.4767,Negative,Men Relaxed Fit Jeans,styzon,Relaxed Fit Jeans,989.0
144,390,45,2023-08-24,2023-08,5,Great value for money. Highly recommend.,0.8516,Positive,Men Wide Leg Cotton Jeans,HIGHLANDER,Wide Leg & Bootcut,1099.0
145,145,47,2024-06-26,2024-06,5,Amazing quality! Totally worth the price.,0.7419,Positive,Plus Size Stretchable Jeans,Sztori,Stretchable Jeans,863.0
146,170,31,2024-03-04,2024-03,5,Great value for money. Highly recommend.,0.8516,Positive,Men Pure Cotton Skater Jeans,The Indian Garage Co,Denim & Jeans,688.0
147,362,34,2023-04-21,2023-04,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Bootcut Stretchable Jeans,Thomas Scott,Wide Leg & Bootcut,874.0
148,212,48,2023-09-29,2023-09,3,Average quality. Nothing special about it.,-0.3089,Neutral,Men Bootcut Jeans,HERE&NOW,Wide Leg & Bootcut,869.0
149,294,2,2023-04-24,2023-04,5,Great value for money. Highly recommend.,0.8516,Positive,Men Slim Fit Jeans,Flying Machine,Slim Fit Jeans,1829.0
150,464,5,2024-10-30,2024-10,2,Quality is below average. Not what I expected.,0.0,Mixed Negative,Men 511 Slim Fit Jeans,Levis,Slim Fit Jeans,1478.0
151,51,4,2023-11-20,2023-11,4,Excellent product. Myntra never disappoints.,0.7081,Positive,Relaxed Fit Denim Jeans,Bene Kleed,Relaxed Fit Jeans,873.0
152,115,27,2023-09-11,2023-09,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Slim Fit Jeans,French Connection,Slim Fit Jeans,1294.0
153,359,20,2024-01-13,2024-01,3,Average quality. Nothing special about it.,-0.3089,Neutral,Men Bootcut Jeans,Mast & Harbour,Wide Leg & Bootcut,869.0
154,62,26,2023-10-16,2023-10,3,Decent product but could be better for the price.,0.5927,Neutral,Men Slim Fit Mid-Rise Jeans,The Indian Garage Co,Slim Fit Jeans,659.0
155,328,42,2023-02-03,2023-02,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Slim Fit Jeans,Nautica,Slim Fit Jeans,1088.0
156,226,4,2023-10-04,2023-10,2,The jeans are too tight at the waist. Sizing is off.,0.0,Mixed Negative,Relaxed Fit Denim Jeans,Bene Kleed,Relaxed Fit Jeans,873.0
157,87,36,2024-09-29,2024-09,2,Size runs small. Return process is very difficult.,-0.4201,Negative,Men Straight Fit Jeans,Bene Kleed,Regular Fit Jeans,989.0
158,420,37,2024-10-04,2024-10,5,Fits perfectly. Very happy with the purchase.,0.8479,Positive,Men Straight Fit Jeans,V-Mart,Regular Fit Jeans,809.0
159,192,25,2024-07-06,2024-07,5,Fast delivery and great packaging.,0.6249,Positive,Men Relaxed Fit Jeans,FUGAZEE,Relaxed Fit Jeans,2099.0
160,182,39,2023-02-07,2023-02,5,Super comfortable jeans. Bought in two colours.,0.802,Positive,Men Regular Fit Jeans,Levis,Regular Fit Jeans,944.0
161,16,49,2023-09-02,2023-09,2,The color faded after first wash. Very disappointing.,-0.5413,Negative,Non Stretchable Cotton Jeans,Flying Machine,Stretchable Jeans,1829.0
162,43,50,2024-08-26,2024-08,5,Amazing quality! Totally worth the price.,0.7419,Positive,30 Days No Wash Jeans,TURMS,Denim & Jeans,3499.0
163,250,38,2023-03-17,2023-03,4,Perfect fit. The material feels premium.,0.7351,Positive,Men Bootcut Jeans,Urbano Fashion,Wide Leg & Bootcut,944.0
164,309,46,2024-06-15,2024-06,3,Not bad but not great either. Fits okay.,-0.2883,Neutral,Men Slim Fit Jeans,HIGHLANDER,Slim Fit Jeans,675.0
165,152,23,2024-10-06,2024-10,5,Excellent product. Myntra never disappoints.,0.7081,Positive,Men Stretchable Jeans,Mast & Harbour,Stretchable Jeans,758.0
