reviewid,customerid,productid,reviewdate,rating,reviewtext
96,96,48,2023-10-29,5,Excellent product. Myntra never disappoints.
97,158,18,2024-02-27,5,Beautiful design. Exactly as shown in the photo.
98,392,11,2024-12-01,5,Excellent product. Myntra never disappoints.
99,305,42,2024-03-28,5,Delivery was quick and product is exactly as described.
100,423,20,2024-03-30,4,Fast delivery and great packaging.
101,340,6,2024-04-01,4,Delivery was quick and product is exactly as described.
102,316,46,2024-08-05,4,Excellent product. Myntra never disappoints.
103,207,20,2024-03-23,4,Fast delivery and great packaging.
104,321,25,2023-06-06,5,Fits perfectly. Very happy with the purchase.
105,413,25,2024-08-01,5,Delivery was quick and product is exactly as described.
106,33,8,2024-06-15,4,Delivery was quick and product is exactly as described.
107,125,43,2023-05-30,5,Perfect fit. The material feels premium.
108,96,4,2023-05-21,5,Loved the fabric and the fit. Will buy again.
109,28,25,2023-10-04,3,Average quality. Nothing special about it.
110,362,34,2023-11-05,5,Fast delivery and great packaging.
111,404,22,2023-09-29,5,Super comfortable jeans. Bought in two colours.
112,346,50,2023-11-30,4,Beautiful design. Exactly as shown in the photo.
113,423,30,2024-01-16,4,Beautiful design. Exactly as shown in the photo.
114,173,5,2023-12-28,5,Perfect fit. The material feels premium.
115,334,28,2024-05-05,5,Loved the fabric and the fit. Will buy again.
116,469,15,2024-02-29,4,Excellent product. Myntra never disappoints.
117,182,13,2024-03-20,3,Decent product but could be better for the price.
118,45,44,2023-06-04,5,Excellent product. Myntra never disappoints.
119,71,4,2024-01-13,5,Super comfortable jeans. Bought in two colours.
120,178,43,2024-06-24,3,Decent product but could be better for the price.
121,52,16,2024-10-04,5,Amazing quality! Totally worth the price.
122,135,13,2024-10-02,3,Material is fine but the colour is slightly different.
123,461,28,2024-05-02,5,Loved the fabric and the fit. Will buy again.
124,355,46,2024-08-28,4,Fits perfectly. Very happy with the purchase.
125,1,26,2023-04-09,1,Product looks different from the photo online.
126,23,3,2024-05-17,1,Material feels cheap. Not worth the price at all.
127,236,42,2023-12-24,4,Loved the fabric and the fit. Will buy again.
128,317,39,2024-01-06,5,Excellent product. Myntra never disappoints.
129,316,40,2023-12-26,1,Size runs small. Return process is very difficult.
130,421,13,2024-05-30,4,Fast delivery and great packaging.
131,64,15,2024-01-11,1,Quality is below average. Not what I expected.
132,56,26,2023-05-24,1,Delivery was very late. Poor experience.
133,422,30,2023-07-25,5,Super comfortable jeans. Bought in two colours.
134,146,16,2023-02-14,2,The jeans are too tight at the waist. Sizing is off.
135,92,27,2023-03-31,2,Size runs small. Return process is very difficult.
136,104,26,2023-08-15,4,Great value for money. Highly recommend.
137,215,49,2023-01-23,2,Stitching came off within a week. Terrible quality.
138,234,9,2024-03-07,2,The jeans are too tight at the waist. Sizing is off.
139,74,30,2023-02-28,5,Fits perfectly. Very happy with the purchase.
140,463,48,2023-12-31,5,Fast delivery and great packaging.
141,2,21,2024-08-15,5,Beautiful design. Exactly as shown in the photo.
142,358,34,2023-03-27,4,Fast delivery and great packaging.
143,415,12,2023-07-27,2,Stitching came off within a week. Terrible quality.
144,390,45,2023-08-24,5,Great value for money. Highly recommend.
145,145,47,2024-06-26,5,Amazing quality! Totally worth the price.
146,170,31,2024-03-04,5,Great value for money. Highly recommend.
147,362,34,2023-04-21,5,Super comfortable jeans. Bought in two colours.
148,212,48,2023-09-29,3,Average quality. Nothing special about it.
149,294,2,2023-04-24,5,Great value for money. Highly recommend.
150,464,5,2024-10-30,2,Quality is below average. Not what I expected.
151,51,4,2023-11-20,4,Excellent product. Myntra never disappoints.
152,115,27,2023-09-11,5,Fits perfectly. Very happy with the purchase.
153,359,20,2024-01-13,3,Average quality. Nothing special about it.
154,62,26,2023-10-16,3,Decent product but could be better for the price.
155,328,42,2023-02-03,5,Excellent product. Myntra never disappoints.
156,226,4,2023-10-04,2,The jeans are too tight at the waist. Sizing is off.
157,87,36,2024-09-29,2,Size runs small. Return process is very difficult.
158,420,37,2024-10-04,5,Fits perfectly. Very happy with the purchase.
159,192,25,2024-07-06,5,Fast delivery and great packaging.
160,182,39,2023-02-07,5,Super comfortable jeans. Bought in two colours.
161,16,49,2023-09-02,2,The color faded after first wash. Very disappointing.
162,43,50,2024-08-26,5,Amazing quality! Totally worth the price.
163,250,38,2023-03-17,4,Perfect fit. The material feels premium.
164,309,46,2024-06-15,3,Not bad but not great either. Fits okay.
165,152,23,2024-10-06,5,Excellent product. Myntra never disappoints.
166,240,2,2024-01-13,5,Great value for money. Highly recommend.
167,201,12,2023-09-25,5,Beautiful design. Exactly as shown in the photo.
168,76,42,2024-03-11,5,Super comfortable jeans. Bought in two colours.
169,211,2,2023-06-13,5,Loved the fabric and the fit. Will buy again.
170,63,36,2023-03-08,5,Beautiful design. Exactly as shown in the photo.
171,454,15,2024-09-12,4,Amazing quality! Totally worth the price.
172,433,37,2023-10-13,4,Amazing quality! Totally worth the price.
173,447,13,2023-02-20,1,Material feels cheap. Not worth the price at all.
174,13,23,2024-06-24,5,Super comfortable jeans. Bought in two colours.
175,402,4,2024-05-22,5,Perfect fit. The material feels premium.
176,67,7,2024-06-02,2,Received a damaged product. Very unhappy.
177,466,26,2024-09-06,2,Customer support was unhelpful when I raised an issue.
178,163,39,2024-10-12,4,Amazing quality! Totally worth the price.
179,77,3,2023-06-21,4,Delivery was quick and product is exactly as described.
180,439,47,2023-09-03,4,Fast delivery and great packaging.
181,313,12,2024-11-17,5,Super comfortable jeans. Bought in two colours.
182,383,18,2024-04-23,4,Amazing quality! Totally worth the price.
183,278,8,2024-01-07,5,Perfect fit. The material feels premium.
184,231,19,2024-06-05,5,Fast delivery and great packaging.
185,476,40,2024-09-20,4,Delivery was quick and product is exactly as described.
186,121,24,2024-07-03,5,Great value for money. Highly recommend.
187,180,10,2023-07-01,4,Delivery was quick and product is exactly as described.
188,457,17,2024-01-25,5,Fast delivery and great packaging.
189,58,37,2024-05-17,4,Delivery was quick and product is exactly as described.
190,190,16,2023-08-04,2,Stitching came off within a week. Terrible quality.
191,245,36,2024-07-22,5,Fits perfectly. Very happy with the purchase.
192,409,48,2024-06-11,3,Okay product. Expected more based on the description.
193,92,28,2023-12-06,5,Super comfortable jeans. Bought in two colours.
194,490,32,2024-07-16,5,Amazing quality! Totally worth the price.
195,207,38,2023-06-11,4,Perfect fit. The material feels premium.
196,232,15,2023-05-06,5,Delivery was quick and product is exactly as described.
197,43,29,2023-08-15,5,Loved the fabric and the fit. Will buy again.
198,407,16,2023-01-09,5,Perfect fit. The material feels premium.
199,192,49,2024-03-25,5,Excellent product. Myntra never disappoints.
200,339,32,2024-12-10,5,Amazing quality! Totally worth the price.
201,469,9,2023-03-17,5,Delivery was quick and product is exactly as described.
202,127,33,2023-12-25,5,Fits perfectly. Very happy with the purchase.
203,17,38,2023-12-27,5,Fast delivery and great packaging.
204,18,47,2024-06-11,2,The jeans are too tight at the waist. Sizing is off.
205,330,23,2024-04-06,5,Beautiful design. Exactly as shown in the photo.
206,296,7,2023-07-24,5,Loved the fabric and the fit. Will buy again.
207,413,34,2023-01-05,4,Beautiful design. Exactly as shown in the photo.
208,117,50,2023-10-06,5,Great value for money. Highly recommend.
209,9,20,2023-03-11,5,Excellent product. Myntra never disappoints.
210,319,13,2023-09-24,2,The jeans are too tight at the waist. Sizing is off.
211,55,34,2023-01-02,4,Delivery was quick and product is exactly as described.
212,313,40,2024-03-01,5,Perfect fit. The material feels premium.
213,301,16,2024-10-04,5,Fits perfectly. Very happy with the purchase.
214,455,41,2024-05-29,4,Great value for money. Highly recommend.
215,154,30,2023-07-13,1,Delivery was very late. Poor experience.
216,147,44,2024-02-26,4,Amazing quality! Totally worth the price.
217,146,27,2023-11-28,3,Average quality. Nothing special about it.
218,175,46,2023-08-25,5,Amazing quality! Totally worth the price.
219,340,16,2023-05-28,4,Beautiful design. Exactly as shown in the photo.
220,127,43,2024-03-31,5,Amazing quality! Totally worth the price.
221,475,22,2024-10-01,4,Excellent product. Myntra never disappoints.
222,26,27,2024-11-08,5,Excellent product. Myntra never disappoints.
223,27,29,2023-03-20,1,The color faded after first wash. Very disappointing.
224,39,17,2023-05-17,5,Great value for money. Highly recommend.
225,85,19,2023-06-24,5,Fast delivery and great packaging.
226,22,39,2024-06-10,5,Super comfortable jeans. Bought in two colours.
227,139,8,2023-12-10,4,Excellent product. Myntra never disappoints.
228,72,34,2023-01-13,3,Average quality. Nothing special about it.
229,357,49,2024-03-17,4,Delivery was quick and product is exactly as described.
230,342,24,2023-04-12,5,Perfect fit. The material feels premium.
231,91,48,2023-12-04,5,Perfect fit. The material feels premium.
232,442,8,2024-08-21,5,Delivery was quick and product is exactly as described.
233,467,39,2024-08-19,5,Fast delivery and great packaging.
234,111,33,2023-03-28,4,Fast delivery and great packaging.
235,62,19,2024-08-17,5,Beautiful design. Exactly as shown in the photo.
236,425,11,2023-05-04,5,Beautiful design. Exactly as shown in the photo.
237,78,4,2023-02-13,5,Amazing quality! Totally worth the price.
238,317,33,2024-03-22,5,Perfect fit. The material feels premium.
239,279,5,2023-11-01,5,Perfect fit. The material feels premium.
240,64,16,2024-09-06,5,Loved the fabric and the fit. Will buy again.
241,488,7,2024-09-13,5,Super comfortable jeans. Bought in two colours.
242,64,21,2024-08-13,5,Excellent product. Myntra never disappoints.
243,457,7,2023-01-27,3,Average quality. Nothing special about it.
244,53,23,2023-08-11,2,Quality is below average. Not what I expected.
245,149,12,2023-08-30,4,Perfect fit. The material feels premium.
246,203,12,2023-09-15,5,Amazing quality! Totally worth the price.
247,6,9,2023-06-11,5,Super comfortable jeans. Bought in two colours.
248,410,3,2024-03-27,4,Excellent product. Myntra never disappoints.
249,317,47,2023-05-18,5,Super comfortable jeans. Bought in two colours.
250,466,28,2024-12-24,3,Material is fine but the colour is slightly different.
251,449,32,2024-12-18,5,Super comfortable jeans. Bought in two colours.
252,92,19,2023-12-13,4,Loved the fabric and the fit. Will buy again.
253,19,24,2024-12-16,5,Amazing quality! Totally worth the price.
254,366,32,2024-09-04,5,Amazing quality! Totally worth the price.
255,177,18,2023-05-21,5,Loved the fabric and the fit. Will buy again.
256,273,38,2024-11-13,3,Okay product. Expected more based on the description.
257,386,47,2024-03-20,5,Delivery was quick and product is exactly as described.
258,113,36,2023-07-09,5,Fits perfectly. Very happy with the purchase.
259,98,25,2024-08-13,5,Perfect fit. The material feels premium.
260,219,34,2024-10-28,5,Loved the fabric and the fit. Will buy again.
261,181,30,2023-08-26,1,Quality is below average. Not what I expected.
262,297,16,2024-01-12,5,Fits perfectly. Very happy with the purchase.
263,96,44,2024-08-30,1,Delivery was very late. Poor experience.
264,369,4,2024-04-23,2,The color faded after first wash. Very disappointing.
265,254,31,2023-01-04,4,Super comfortable jeans. Bought in two colours.
266,290,19,2023-11-01,4,Perfect fit. The material feels premium.
267,401,23,2023-07-22,5,Delivery was quick and product is exactly as described.
268,394,5,2023-05-09,4,Perfect fit. The material feels premium.
269,38,40,2024-01-03,3,Decent product but could be better for the price.
270,384,11,2023-10-12,5,Excellent product. Myntra never disappoints.
271,419,13,2023-07-20,3,Okay product. Expected more based on the description.
272,298,27,2023-04-09,5,Great value for money. Highly recommend.
273,14,39,2023-04-12,3,Okay product. Expected more based on the description.
274,118,26,2024-03-15,4,Excellent product. Myntra never disappoints.
275,129,5,2023-02-01,5,Delivery was quick and product is exactly as described.
276,122,17,2023-05-25,4,Super comfortable jeans. Bought in two colours.
277,445,3,2024-04-22,2,The jeans are too tight at the waist. Sizing is off.
278,111,41,2023-06-26,5,Fits perfectly. Very happy with the purchase.
279,455,34,2023-03-06,5,Fast delivery and great packaging.
280,346,29,2023-11-11,5,Delivery was quick and product is exactly as described.
281,37,11,2023-05-03,5,Great value for money. Highly recommend.
282,457,14,2024-05-24,4,Great value for money. Highly recommend.
283,54,2,2023-09-02,1,Product looks different from the photo online.
284,419,28,2023-02-25,5,Perfect fit. The material feels premium.
285,345,2,2023-09-23,5,Great value for money. Highly recommend.
286,361,27,2023-09-07,1,Material feels cheap. Not worth the price at all.
287,67,5,2023-02-15,4,Great value for money. Highly recommend.
288,45,29,2024-07-11,5,Excellent product. Myntra never disappoints.
289,325,36,2024-03-10,1,Material feels cheap. Not worth the price at all.
290,389,5,2023-07-08,4,Super comfortable jeans. Bought in two colours.
291,108,43,2023-01-12,4,Delivery was quick and product is exactly as described.
292,254,17,2024-11-11,2,Quality is below average. Not what I expected.
293,211,24,2023-02-14,3,Average quality. Nothing special about it.
294,1,5,2024-02-09,1,Quality is below average. Not what I expected.
295,188,22,2023-12-11,1,Product looks different from the photo online.
296,390,10,2024-04-28,5,Super comfortable jeans. Bought in two colours.
297,217,49,2024-01-01,5,Loved the fabric and the fit. Will buy again.
298,407,50,2024-01-22,5,Super comfortable jeans. Bought in two colours.
299,482,38,2024-07-26,1,Material feels cheap. Not worth the price at all.
300,217,31,2024-05-17,5,Perfect fit. The material feels premium.
301,238,43,2024-05-06,5,Great value for money. Highly recommend.
302,115,40,2024-08-10,1,The color faded after first wash. Very disappointing.
303,20,18,2023-08-19,4,Loved the fabric and the fit. Will buy again.
304,210,33,2024-05-28,4,Delivery was quick and product is exactly as described.
305,144,8,2023-08-17,5,Fast delivery and great packaging.
306,207,50,2024-11-04,5,Amazing quality! Totally worth the price.
307,179,32,2023-04-20,4,Amazing quality! Totally worth the price.
308,55,50,2024-08-05,5,Perfect fit. The material feels premium.
309,17,24,2023-05-24,5,Great value for money. Highly recommend.
310,94,29,2024-08-20,5,Excellent product. Myntra never disappoints.
311,117,34,2024-02-25,2,Received a damaged product. Very unhappy.
312,379,30,2023-02-25,4,Beautiful design. Exactly as shown in the photo.
313,337,18,2024-07-26,5,Fast delivery and great packaging.
314,387,15,2023-12-11,3,Okay product. Expected more based on the description.
315,231,49,2023-02-06,5,Excellent product. Myntra never disappoints.
316,240,45,2024-04-11,5,Perfect fit. The material feels premium.
317,330,46,2023-06-18,5,Perfect fit. The material feels premium.
318,380,3,2023-02-02,5,Loved the fabric and the fit. Will buy again.
319,12,50,2023-10-11,4,Loved the fabric and the fit. Will buy again.
320,401,12,2023-05-08,5,Excellent product. Myntra never disappoints.
321,276,45,2024-05-18,4,Fast delivery and great packaging.
322,160,36,2024-12-11,1,Product looks different from the photo online.
323,77,28,2023-10-07,4,Super comfortable jeans. Bought in two colours.
324,31,45,2024-05-24,2,Product looks different from the photo online.
325,61,33,2023-01-17,4,Perfect fit. The material feels premium.
326,398,4,2024-04-19,4,Amazing quality! Totally worth the price.
327,126,9,2024-04-19,5,Excellent product. Myntra never disappoints.
328,315,31,2024-08-02,4,Beautiful design. Exactly as shown in the photo.
329,387,14,2023-03-03,5,Excellent product. Myntra never disappoints.
330,52,30,2024-06-09,5,Amazing quality! Totally worth the price.
331,294,10,2024-08-27,4,Delivery was quick and product is exactly as described.
332,438,34,2023-10-17,4,Delivery was quick and product is exactly as described.
333,126,9,2023-10-23,2,The color faded after first wash. Very disappointing.
334,50,33,2024-01-16,3,Okay product. Expected more based on the description.
335,30,2,2024-05-01,5,Loved the fabric and the fit. Will buy again.
336,374,10,2023-07-22,3,Average quality. Nothing special about it.
337,498,45,2023-01-30,4,Beautiful design. Exactly as shown in the photo.
338,344,10,2024-10-26,4,Beautiful design. Exactly as shown in the photo.
339,35,8,2024-10-14,3,Decent product but could be better for the price.
340,251,7,2023-01-12,5,Amazing quality! Totally worth the price.
341,185,9,2023-02-03,3,Not bad but not great either. Fits okay.
342,402,29,2024-03-10,3,Okay product. Expected more based on the description.
343,287,17,2023-07-24,5,Fits perfectly. Very happy with the purchase.
344,56,44,2024-02-24,5,Great value for money. Highly recommend.
345,377,10,2023-10-04,4,Delivery was quick and product is exactly as described.
346,162,14,2023-12-04,4,Fast delivery and great packaging.
347,66,47,2024-06-26,4,Great value for money. Highly recommend.
348,298,43,2024-09-18,5,Great value for money. Highly recommend.
349,178,36,2023-07-19,4,Amazing quality! Totally worth the price.
350,106,43,2024-12-11,4,Fits perfectly. Very happy with the purchase.
351,16,22,2024-06-14,5,Great value for money. Highly recommend.
352,261,6,2024-11-12,1,The jeans are too tight at the waist. Sizing is off.
353,467,9,2023-10-29,5,Super comfortable jeans. Bought in two colours.
354,248,17,2024-05-15,4,Excellent product. Myntra never disappoints.
355,126,3,2024-08-24,4,Excellent product. Myntra never disappoints.
356,198,37,2023-01-09,4,Excellent product. Myntra never disappoints.
357,223,9,2024-07-13,5,Perfect fit. The material feels premium.
358,255,30,2023-08-01,5,Super comfortable jeans. Bought in two colours.
359,335,25,2023-10-25,5,Perfect fit. The material feels premium.
360,13,30,2023-09-18,1,Delivery was very late. Poor experience.
361,309,28,2023-07-22,3,Okay product. Expected more based on the description.
362,438,15,2024-09-21,1,Stitching came off within a week. Terrible quality.
363,204,9,2023-05-27,2,Product looks different from the photo online.
364,352,26,2023-05-08,4,Fast delivery and great packaging.
365,384,44,2023-08-25,5,Fits perfectly. Very happy with the purchase.
366,261,34,2024-09-03,5,Delivery was quick and product is exactly as described.
367,184,10,2024-08-09,4,Excellent product. Myntra never disappoints.
368,303,17,2024-05-26,5,Fits perfectly. Very happy with the purchase.
369,358,48,2024-09-11,5,Excellent product. Myntra never disappoints.
370,449,8,2024-06-03,5,Delivery was quick and product is exactly as described.
371,349,47,2023-10-22,3,Average quality. Nothing special about it.
372,68,10,2023-08-23,5,Loved the fabric and the fit. Will buy again.
373,495,14,2024-09-06,5,Excellent product. Myntra never disappoints.
374,471,18,2024-02-23,4,Loved the fabric and the fit. Will buy again.
375,173,43,2024-02-03,5,Excellent product. Myntra never disappoints.
376,41,8,2024-05-31,4,Fast delivery and great packaging.
377,273,46,2023-05-15,5,Great value for money. Highly recommend.
378,326,22,2024-11-26,5,Amazing quality! Totally worth the price.
379,227,50,2023-05-19,5,Loved the fabric and the fit. Will buy again.
380,106,40,2023-07-06,5,Beautiful design. Exactly as shown in the photo.
381,451,30,2024-10-16,3,Okay product. Expected more based on the description.
382,312,27,2023-08-10,3,Average quality. Nothing special about it.
383,62,3,2023-12-19,5,Delivery was quick and product is exactly as described.
384,35,17,2023-06-19,1,Stitching came off within a week. Terrible quality.
385,490,37,2024-01-30,3,Okay product. Expected more based on the description.
386,111,32,2023-12-18,5,Beautiful design. Exactly as shown in the photo.
387,183,12,2023-01-27,1,Customer support was unhelpful when I raised an issue.
388,114,2,2024-04-09,1,Received a damaged product. Very unhappy.
389,108,15,2024-09-29,5,Delivery was quick and product is exactly as described.
390,99,18,2024-05-02,4,Fits perfectly. Very happy with the purchase.
391,351,45,2023-06-13,5,Excellent product. Myntra never disappoints.
392,14,34,2024-12-14,4,Great value for money. Highly recommend.
393,242,10,2023-03-02,2,Material feels cheap. Not worth the price at all.
394,484,49,2023-06-10,3,Material is fine but the colour is slightly different.
395,93,16,2023-12-22,2,Received a damaged product. Very unhappy.
396,121,14,2023-05-15,5,Great value for money. Highly recommend.
397,265,47,2024-09-30,1,Customer support was unhelpful when I raised an issue.
398,16,13,2024-09-27,4,Great value for money. Highly recommend.
399,30,28,2024-07-05,3,Decent product but could be better for the price.
400,7,11,2023-12-11,5,Delivery was quick and product is exactly as described.
401,25,29,2023-01-25,5,Excellent product. Myntra never disappoints.
402,359,32,2024-06-12,5,Perfect fit. The material feels premium.
403,174,37,2024-08-24,4,Perfect fit. The material feels premium.
404,91,16,2024-03-24,5,Excellent product. Myntra never disappoints.
405,92,33,2024-04-01,4,Delivery was quick and product is exactly as described.
406,393,45,2023-10-22,4,Great value for money. Highly recommend.
407,284,18,2024-10-28,2,Product looks different from the photo online.
408,133,26,2024-12-06,5,Great value for money. Highly recommend.
409,476,19,2023-07-18,2,The jeans are too tight at the waist. Sizing is off.
410,218,46,2023-04-20,5,Fits perfectly. Very happy with the purchase.
411,285,44,2024-03-28,5,Beautiful design. Exactly as shown in the photo.
412,460,24,2024-12-14,5,Beautiful design. Exactly as shown in the photo.
413,28,26,2023-03-30,5,Super comfortable jeans. Bought in two colours.
414,149,6,2024-03-15,5,Beautiful design. Exactly as shown in the photo.
415,313,21,2024-07-04,5,Delivery was quick and product is exactly as described.
416,295,14,2023-10-13,3,Not bad but not great either. Fits okay.
417,344,39,2024-11-23,5,Fast delivery and great packaging.
418,480,29,2023-09-10,5,Loved the fabric and the fit. Will buy again.
419,322,38,2024-05-09,5,Excellent product. Myntra never disappoints.
420,192,26,2024-04-02,3,Okay product. Expected more based on the description.
421,72,49,2024-08-26,5,Loved the fabric and the fit. Will buy again.
422,241,14,2023-06-12,1,The color faded after first wash. Very disappointing.
423,95,5,2024-05-10,5,Super comfortable jeans. Bought in two colours.
424,235,43,2023-12-16,3,Average quality. Nothing special about it.
425,120,10,2024-01-12,5,Delivery was quick and product is exactly as described.
426,4,38,2023-01-21,5,Loved the fabric and the fit. Will buy again.
427,416,35,2024-05-17,5,Amazing quality! Totally worth the price.
428,104,18,2023-02-01,3,Material is fine but the colour is slightly different.
429,97,9,2024-10-31,1,The color faded after first wash. Very disappointing.
430,316,44,2023-10-01,5,Great value for money. Highly recommend.
431,378,32,2023-01-29,5,Super comfortable jeans. Bought in two colours.
432,51,18,2024-01-22,5,Beautiful design. Exactly as shown in the photo.
433,402,18,2023-02-22,5,Fits perfectly. Very happy with the purchase.
434,457,19,2023-11-13,5,Fast delivery and great packaging.
435,423,25,2024-10-14,3,Material is fine but the colour is slightly different.
436,457,31,2024-01-02,3,Not bad but not great either. Fits okay.
437,498,24,2023-09-19,5,Excellent product. Myntra never disappoints.
438,390,35,2023-10-25,5,Beautiful design. Exactly as shown in the photo.
439,186,15,2024-06-02,5,Excellent product. Myntra never disappoints.
440,257,31,2024-05-30,5,Excellent product. Myntra never disappoints.
441,43,41,2023-06-26,3,Average quality. Nothing special about it.
